EDAD,GAUT,HIJOSM18,Y
37,0,4,9107
49,0,0,7000
60,0,0,4150
49,0,0,10088.5
38,0,3,8522.5
33,0,3,2175
52,0,0,9400
50,0,1,10884
38,0,3,7100
31,0,1,9100
47,0,1,14776.5
40,0,1,6700
56,0,0,8238
53,0,0,5350
52,0,4,22494
55,0,2,9150
51,0,0,12000
44,0,2,8600
55,0,3,17700
51,0,1,12250
47,0,3,6765
48,0,5,7990
46,0,3,8700
51,0,2,7300
57,0,0,8288
39,0,2,5775
42,0,1,9750
33,0,2,7400
33,0,0,12000
56,0,0,10800
40,0,4,7375
44,0,2,10441.5
35,0,2,7350
46,0,1,8050
38,0,3,4004.5
53,0,0,9400
55,0,0,20750
45,0,1,21400
56,0,0,9482.5
42,0,3,10500
36,0,2,14000
34,0,2,4725
38,0,3,14225
56,0,0,3850
51,0,2,10900
55,0,0,8629
52,0,1,15900
31,0,1,9696
49,0,2,18650
55,0,2,7225
60,0,1,8036.5
53,0,1,6699.5
38,0,3,14315
46,0,0,11630
55,0,0,9618.5
36,0,2,14500
31,0,4,9425
45,0,3,9927.5
39,0,2,6850
35,0,2,5500
51,0,2,12550
53,0,0,8000
59,0,0,8750
37,0,2,8350
49,0,1,8985
49,0,0,6500
53,0,4,15500
42,0,4,9225
46,0,3,12235
58,0,0,10787
60,0,1,4200
47,0,1,15850
51,0,2,12067.5
49,0,2,8540
34,0,3,5095
31,0,4,17500
52,0,1,11079.5
52,0,0,5020
39,0,0,4315
57,0,1,8850
57,0,1,13340
50,0,1,14700
49,0,2,16250
51,0,0,12660
46,0,2,4600
34,0,2,11800
54,0,1,10512.5
40,0,4,17955
39,0,1,11400
43,0,5,9886
58,0,0,7650
43,0,2,17110
44,0,5,10911.5
46,0,1,10850
39,0,2,10264
46,0,1,15500
58,0,1,5500
37,0,3,8300
40,0,4,7050
58,0,0,7500
41,0,2,7915
57,0,0,6462.5
58,0,0,15100
47,0,3,8185
31,0,2,8650
38,0,3,7500
37,0,3,11875
35,0,3,7000
48,0,1,15550
60,0,0,9503.5
60,0,1,7775
57,0,0,6650
57,0,2,12375.5
33,0,2,9200
52,0,1,21775
49,0,0,1200
34,0,0,11950
48,0,1,14070.5
53,0,0,14150
45,0,5,9437
38,0,3,12745
45,0,1,21050
36,0,2,10440
45,0,2,13000
43,0,3,16325
50,0,3,6563
48,0,0,9450
34,0,3,9005
49,0,2,9200
55,0,0,6710
40,0,4,16342.5
42,0,2,8341
56,0,1,9375
51,0,0,12500
46,0,1,10150
44,0,3,5433.5
41,0,5,3525
50,0,2,7950
50,0,0,13306.5
52,0,0,4000
58,0,0,5296
58,0,0,16928
56,0,1,6700
37,0,3,20125
41,0,5,7850
36,0,4,36800
42,0,2,16550
56,0,0,14300
38,0,1,8750
39,0,2,3000
44,0,1,7594.5
54,0,0,13880
42,0,2,18625
37,0,3,24150
46,0,0,8394
32,0,2,8075
31,0,2,7250
42,0,2,4545
49,0,2,20400
51,0,3,9850
30,0,5,2500
31,0,4,5013.5
45,0,1,12400
37,0,1,3520
53,0,0,10475
36,0,2,9260
44,0,3,3787
30,0,2,8025
48,0,0,15000
55,0,0,12492
39,0,2,12350.5
44,0,2,14900
33,0,1,11000
51,0,1,11150
37,0,4,7500
56,0,0,6500
52,0,1,10507
46,0,0,5000
57,0,4,9865
48,0,2,7275
55,0,1,12053
60,0,0,17500
31,0,2,3860
36,0,2,15150
45,0,2,7912.5
59,0,0,5275
42,0,2,13925
57,0,1,5438
59,0,0,4780
47,0,2,7030
44,0,3,8255
31,0,3,6000
46,0,1,10484
49,0,2,13546
52,0,0,5612.5
44,0,3,13500
37,0,4,3000
51,0,0,31600
45,0,1,15750
43,0,5,14100
59,0,0,18850
52,0,0,10000
39,0,1,17000
55,0,0,10950
31,0,2,6458
50,0,0,3804
41,0,3,8820
37,0,4,8705
44,0,4,3750
40,0,2,25500
54,0,0,7500
35,0,2,11497.5
42,0,3,8225
36,0,2,12175
45,0,0,5947.5
60,0,0,4058.5
48,0,0,15553
34,0,3,22625
44,0,2,14034.5
53,0,1,11713
30,0,2,7000
46,0,1,20250
33,0,2,2000
39,0,1,13500
50,0,1,10810
33,0,5,5000
43,0,2,14100
54,0,1,8752.5
43,0,0,4976
36,0,3,3400
34,0,8,3920
39,0,2,2665
33,0,2,6050
37,0,0,9000
55,0,1,8075
42,0,3,9500
45,0,0,6323
50,0,0,7200
39,0,3,9500
52,0,1,9100
45,0,1,14450
34,0,3,25600
42,0,3,10971.5
51,0,7,3616
32,0,2,13020
34,0,4,23750
48,0,3,38500
57,0,0,11100
48,0,3,14100
45,0,2,44000
43,0,2,3265.5
46,0,2,6200
55,0,0,11211
42,0,1,31750
53,0,2,15150
55,0,0,10550
49,0,1,10150
37,0,2,4900
49,0,0,28050
45,0,4,7500
39,0,6,6720
54,0,0,9250
34,0,3,4050
42,0,2,11112.5
40,0,2,11423
52,0,0,6200
46,0,1,8817.5
43,0,1,7000
44,0,4,16960
34,0,4,11750
53,0,2,8368
46,0,1,7575
45,0,1,6695
35,0,3,8100
37,0,2,25150
37,0,4,7750
55,0,1,7710
30,0,2,21125
58,0,0,3170
45,0,3,10708.5
43,0,0,7347
47,0,2,5601.5
54,0,0,11500
32,0,3,11500
54,0,0,6045
53,0,0,10100
45,0,3,10750
36,0,4,12380
52,0,0,9250
46,0,2,14650
57,0,0,28500
54,0,2,11291
49,0,5,2775
50,0,4,9682.5
54,0,2,34017.5
51,0,1,14035
33,0,2,9511
53,0,0,6536
38,0,3,9938
30,0,2,11000
55,0,0,7378
45,0,4,12200
49,0,2,12233
51,0,0,7750
52,0,1,5330
60,0,0,7000
53,0,0,7750
38,0,4,12000
51,0,1,8120
42,0,4,15400
50,0,3,3643
57,0,0,14500
40,0,3,48000
38,0,2,18876
35,0,3,5045
52,0,0,6675
55,0,0,27800
54,0,0,750
50,0,0,9075
47,0,1,10110
53,0,0,4690
43,0,4,15311.5
53,0,2,11837.5
48,0,1,11000
47,0,0,3522
58,0,0,16000
56,0,0,11075
39,0,3,6183.5
55,0,0,16835.5
54,0,0,17510
51,0,0,10975
40,0,4,13450
34,0,4,18000
51,0,0,9145
60,0,0,16121
32,0,1,6046
54,0,2,11305
54,0,3,1888.5
47,0,2,18800
57,0,0,20585
48,0,3,14181.5
54,0,0,5150
53,0,0,14750
58,0,0,9250
30,0,3,16800
40,0,8,8329
32,0,1,6533
37,0,4,9935
54,0,0,12425
41,0,1,10000
37,0,3,5750
52,0,2,14600
44,0,3,10750
37,0,2,3492.5
33,0,3,7905
47,0,0,13410
47,0,1,25375
44,0,1,7948.5
54,0,5,21605
48,0,0,5010
50,0,0,11325
53,0,0,3925
32,0,2,9095
60,0,0,13175
48,0,3,17800
31,0,1,7575
48,0,2,8950
43,0,1,17600
50,0,2,22602.5
44,0,0,16300
38,0,3,5227.5
51,0,3,6789.5
37,0,3,16300
59,0,0,8150
54,0,0,17603.5
31,0,4,6877.5
41,0,3,10850
46,0,3,20106.5
51,0,0,7925
42,0,0,13100.5
42,0,3,7068
55,0,1,11481
53,0,2,12650
39,0,0,6500
41,0,2,7012.5
54,0,1,9450
51,0,0,16500
51,0,0,6090
53,0,0,24810
39,0,3,16520
53,0,0,3359.5
40,0,2,8000
49,0,1,23500
50,0,2,20000
32,0,2,10760
38,0,4,45522
51,0,1,12430
37,0,4,12936
60,0,0,9910
31,0,1,13700
33,0,3,7750
52,0,0,7694.5
33,0,4,1250
38,0,3,10700
38,0,3,9590
44,0,1,7350
48,0,0,25500
60,0,0,8640
43,0,2,14925
32,0,0,4168.5
37,0,1,11500
47,0,0,4800
52,0,2,10202.5
40,0,3,2982.5
42,0,2,14825
47,0,0,7442
32,0,3,10560
35,1000,3,9000
53,1130,0,11100
30,1280,1,13040
52,1360,4,11330
37,1360,3,7250
57,1440,0,10825
49,1500,0,11850
49,1500,1,15550
45,1650,2,15400
38,1800,3,6600
44,1850,2,9300
39,1850,2,18550
39,1870,1,14806
34,1900,2,12100
46,2000,2,12850
44,2000,3,8385.5
51,2000,0,12290
56,2100,0,8550
41,2100,4,7550
55,2200,0,1652.5
42,2200,3,3370
59,2200,0,6450
52,2200,3,5000
37,2200,4,13200
48,2200,1,8300
49,2200,4,7816
53,2200,0,6080
59,2220,0,2690
32,2230,3,8965
40,2250,5,10925
37,2250,3,8750
40,2250,5,9575.5
42,2250,0,6202.5
36,2250,1,7400
60,2250,0,14080
47,2260,4,8732.5
51,2290,1,9712
31,2300,0,6950
44,2300,3,10305
31,2300,2,6243.5
34,2300,1,6038.5
52,2300,1,31030
54,2300,1,12125
46,2300,2,8651
42,2300,3,6500
33,2300,4,6024
49,2300,3,6435
51,2300,0,9050
35,2300,2,5715.5
33,2300,6,5200
47,2300,1,4700
38,2300,0,6950
47,2350,2,6625
36,2370,2,8645
55,2400,1,9871
43,2400,3,5388
46,2400,2,7759.5
39,2450,0,8154
33,2460,1,9000
57,2500,0,12850
42,2500,1,10597.5
45,2500,0,4781.5
43,2500,2,10025
48,2500,1,10725
60,2500,0,3057
53,2500,1,9116
37,2500,0,6800
39,2500,2,6403.5
48,2500,3,6130
46,2500,1,15000
57,2500,0,9275
49,2500,1,29250
30,2500,2,8600
57,2530,3,18075
36,2560,4,9950
51,2570,0,4155.5
46,2570,2,7272.5
58,2580,0,7714
42,2600,3,6650
37,2600,2,15400
46,2640,2,7013.5
34,2650,1,8155
30,2650,2,10900
53,2700,2,9717
41,2700,2,6537.5
60,2700,0,5525
45,2740,2,6119.5
37,2750,2,9350
44,2750,3,13000
34,2750,3,9110
43,2760,1,10478.5
47,2800,0,12850
43,2800,0,9575
47,2800,0,5500
53,2820,0,8200
35,2850,1,8675
42,2900,0,7826
44,2900,1,8112.5
48,2900,3,13508.5
35,2900,2,6850
42,2930,3,7750
50,2950,0,14100
52,2950,0,8500
31,3000,3,10250
35,3000,2,13500
43,3000,3,6870
42,3000,2,13110
47,3000,3,12397.5
50,3000,0,16295
50,3000,3,12239.5
38,3000,6,7600
48,3000,2,10480
47,3000,2,20002.5
40,3050,4,8900
48,3080,2,7700
49,3140,2,9920
59,3150,1,10337.5
53,3180,0,9050
35,3180,1,10400
34,3210,1,15000
37,3230,1,9506.5
41,3250,1,17850
47,3250,0,26322.5
39,3250,1,19350
33,3250,2,11910
48,3250,0,12680
53,3250,3,3650
37,3250,4,9503.5
46,3250,1,6250
38,3260,4,9800
52,3260,0,11339.5
53,3270,0,13400
50,3290,1,11550
48,3300,2,15209.5
39,3300,1,14575
48,3350,3,12343
49,3380,1,18100
45,3380,1,15715.5
53,3400,0,16776
31,3430,2,8100
48,3450,5,15325
52,3450,0,10450
46,3500,2,8430
58,3500,0,12750
38,3500,5,18625
57,3500,0,20450
35,3500,2,8320
39,3580,1,7900
43,3600,1,15227.5
32,3600,3,13650
46,3600,0,12250
50,3600,0,11990
47,3600,1,14350
34,3600,1,15000
42,3600,3,16137.5
58,3600,1,17851
34,3610,2,4650
47,3690,3,10683.5
47,3710,0,6400
30,3750,0,9750
48,3750,3,12062.5
37,3750,0,9587.5
41,3750,1,8250
48,3750,1,12027.5
52,3750,0,11575
47,3750,4,11025
52,3770,0,18600
43,3800,1,12334.5
35,3800,0,7045
33,3840,2,3500
39,3850,3,7104.5
47,3850,0,13460.5
45,3850,1,12235
41,3870,1,7150
51,3900,0,9250
35,3900,2,9090
34,3900,1,11795.5
40,3940,4,10150
41,3950,4,11300
44,3950,1,13434
33,3970,2,3887
42,4000,1,11960
59,4000,0,8000
45,4000,2,9300
49,4000,0,4117
46,4000,2,12816.5
47,4000,1,6099
30,4000,1,6450
37,4000,3,13250
47,4000,2,12074.5
38,4000,1,11528.5
40,4040,4,10520
47,4050,1,8458.5
43,4070,3,10986
38,4100,3,8600
43,4100,3,7548
43,4150,2,10212.5
47,4190,3,12328
33,4200,2,9450
36,4200,6,20250
35,4200,0,9950
41,4200,2,6800
46,4200,1,25450
42,4200,2,18262.5
49,4200,1,9150
37,4200,2,18436
43,4200,2,5960
46,4250,1,12450
39,4250,3,14015
36,4250,3,12200
55,4250,0,19875
32,4260,3,13500
50,4300,2,9000
34,4300,1,16150
53,4320,0,11325
33,4320,2,14313
48,4330,0,12758
54,4350,0,9397.5
54,4370,0,9750
34,4370,2,7810
55,4370,0,11650
45,4400,4,8042
44,4500,1,14300
38,4500,2,17750
48,4500,1,13600
48,4500,6,10323
35,4520,1,6560
39,4550,3,11250
52,4550,1,10692
47,4580,1,14350
53,4610,0,8060
36,4620,2,10077.5
49,4630,0,10160
48,4650,2,11086
35,4650,2,26300
46,4680,1,39875
58,4680,0,13125
57,4700,0,9747.5
32,4700,2,11800
47,4740,0,13030
34,4760,0,10900
40,4780,1,9900
56,4800,0,7750
40,4800,2,8100
54,4800,0,13000
39,4800,2,9300
47,4820,0,8106
43,4840,2,15100
43,4850,2,14158
59,4870,0,17675
48,4900,0,24400
56,4900,0,9800
49,4950,2,14887
48,4950,1,14450
40,5000,1,20900
46,5000,2,11941
48,5000,0,31250
46,5000,2,10975
54,5000,1,11448.5
33,5000,1,12200
41,5000,4,12890
50,5000,1,18500
54,5000,0,8250
39,5100,3,17600
35,5200,2,12300
56,5250,0,12358.5
38,5300,3,19500
52,5310,1,10830
56,5470,0,19500
43,5500,1,14500
37,5500,2,12000
42,5500,3,19750
46,5500,2,9500
48,5540,0,11251
56,5580,0,15009
58,5600,0,12780.5
48,5750,0,6400
46,5800,3,13950
53,5830,0,10230
37,5950,2,10576
47,5990,0,21350
42,6000,0,11650
47,6000,1,8900
58,6000,1,16475
47,6000,3,27500
30,6000,1,13050
40,6000,1,18000
58,6000,0,19400
39,6000,1,11550
35,6040,2,15800
33,6070,3,13000
57,6180,0,15300
47,6180,0,10065
48,6250,3,21215
54,6250,3,13450
47,6250,0,6905
56,6300,1,17000
44,6300,4,5975
44,6310,0,45400
47,6390,0,8865
59,6450,0,14000
40,6500,1,17820.5
49,6800,4,19295
31,6900,1,7850
56,6920,0,16005.5
60,7000,0,16610
41,7000,0,15900
49,7050,1,17850
46,7100,0,18100
51,7140,0,15375
53,7150,1,15937.5
51,7250,0,15905
45,7500,2,9300
33,7720,2,19550
33,8000,4,21750
57,8100,1,12852
44,8130,0,17650
34,8170,1,17275
33,8250,0,18650
39,8300,2,16150
47,8500,1,33150
41,8500,1,18650
38,8500,4,18215
55,8750,0,16250
43,9000,0,16785
56,9500,0,17350
30,9530,0,18275
33,9800,1,17550
32,9980,2,8122.5
53,9980,0,9450
48,9980,1,21000
35,9980,4,12000
34,9980,3,12000
47,9980,0,22750
59,9980,0,15500
42,9980,0,28650
