date;P_INDITEX;P_SANTANDER;P_TELEFONICA;P_IBEX35;R_LT1Y
2001-05-22;2.94;6.5528;14.1485;9542.7;4.54
2001-06-22;3.746;6.2643;11.4884;9601.8;4.25
2001-07-22;3.61;5.7639;10.4938;8787.6;4.12
2001-08-22;3.86;5.811;9.8076;8564.7;4.09
2001-09-22;3.06;4.0801;8.6741;8117.3;3.84
2001-10-22;3.882;5.3223;10.0235;7169.3;3.28
2001-11-22;4.26;5.6697;12.0127;7926;3.18
2001-12-22;4.3;5.2988;11.6426;8825.5;3.12
2002-01-22;4.32;5.4165;10.8253;8463.1;3.19
2002-02-22;4.4;5.0751;9.7108;7852.7;3.46
2002-03-22;4.39;5.7286;10.5637;8307.2;3.54
2002-04-22;4.444;6.0406;10.267;8170.1;3.82
2002-05-22;4.31;5.7109;8.8873;8019;3.71
2002-06-22;4.262;4.71;6.9703;7619.1;3.81
2002-07-22;3.902;4.1507;7.1227;7078.4;3.61
2002-08-22;4.142;4.1919;7.9168;5963.2;3.35
2002-09-22;4.28;3.2617;6.6896;6080.4;3.09
2002-10-22;4.558;3.6208;7.3312;5499.2;2.93
2002-11-22;4.584;3.9741;8.1334;6369.1;2.91
2002-12-22;4.408;3.8446;7.2671;6425.3;2.85
2003-01-22;4.434;3.6974;7.9248;6237.3;2.56
2003-02-22;4.388;3.456;7.4593;6002.6;2.45
2003-03-22;3.68;3.7975;7.8838;5879.8;2.23
2003-04-22;3.42;4.1625;8.3427;6324.1;2.26
2003-05-22;3.74;3.8446;7.7086;6491.3;2.27
2003-06-22;4.29;4.71;8.6764;6591.1;1.94
2003-07-22;4.32;4.5511;8.2676;6800.4;1.9
2003-08-22;4.6;4.6217;9.1352;6991.3;2.12
2003-09-22;3.896;4.5275;8.7681;7230.6;2.24
2003-10-22;3.642;4.5628;8.7635;6922.3;2.18
2003-11-22;3.77;4.9514;8.8476;7196.1;2.3
2003-12-22;3.1;5.3282;9.7475;7348.1;2.35
2004-01-22;3.134;5.5932;10.9165;7911.4;2.16
2004-02-22;3.42;5.4754;11.0595;7949.1;2.1
2004-03-22;3.208;4.9809;10.1511;8346.1;2.05
2004-04-22;3.684;5.4401;10.723;8285.9;1.98
2004-05-22;3.68;5.0338;9.8063;8235.8;2.09
2004-06-22;3.774;5.1575;10.0586;8010.7;2.21
2004-07-22;3.734;4.9102;10.0082;8060.3;2.25
2004-08-22;3.654;4.6041;9.6381;7836.5;2.18
2004-09-22;3.968;4.6217;10.1091;8061.1;2.2
2004-10-22;3.988;5.0397;10.9585;8305.3;2.3
2004-11-22;4.2;5.3694;10.9165;8570.6;2.19
2004-12-22;4.32;5.34;11.6061;8787.9;2.16
2005-01-22;4.318;5.3106;11.3538;9024.4;2.26
2005-02-22;4.644;5.5519;11.6986;9422.5;2.17
2005-03-22;4.59;5.5814;11.4463;9538;2.2
2005-04-22;4.68;5.3812;11.1688;9298.1;2.17
2005-05-22;4.78;5.446;11.5136;9235.5;2.04
2005-06-22;4.36;5.6403;11.8523;9497.7;2.01
2005-07-22;4.41;5.8993;11.8872;9807.4;1.95
2005-08-22;4.404;5.9641;12.0622;10045.4;2.16
2005-09-22;4.87;6.0701;11.8173;10250.9;2.03
2005-10-22;4.836;6.2997;12.0359;10823.1;2.24
2005-11-22;4.902;6.3644;10.8201;10412.3;2.38
2005-12-22;5.42;6.5352;11.0213;10532.1;2.59
2006-01-22;5.398;6.4763;10.8551;10913.6;2.7
2006-02-22;5.848;7.2063;11.3187;11175.8;2.81
2006-03-22;6.074;7.1769;11.6073;11755.7;2.87
2006-04-22;6.546;7.1239;11.1875;11916.4;3.06
2006-05-22;6.088;6.5234;10.4265;12034.4;3.44
2006-06-22;6.36;6.4586;11.3274;11287.8;3.22
2006-07-22;6.52;6.6647;11.2575;11521.2;0
2006-08-22;6.884;7.1063;11.6336;11934.1;3.39
2006-09-22;6.87;7.2652;11.5549;12212.4;3.47
2006-10-22;7.61;7.854;12.482;13116.4;3.54
2006-11-22;7.92;8.4604;13.7766;13794.7;3.67
2006-12-22;8.044;8.2602;14.074;14032.5;3.66
2007-01-22;8.28;8.3485;14.5901;14304.7;3.8
2007-02-22;9.062;8.5958;14.8175;14616.7;3.85
2007-03-22;8.9;8.0247;14.4151;13749.1;3.68
2007-04-22;9.464;8.1542;14.8875;14974.9;3.76
2007-05-22;9.434;8.0365;14.5726;14620.3;4.21
2007-06-22;8.628;8.0483;14.1702;15314.9;4.29
2007-07-22;8.956;8.2308;15.0274;14907.4;0
2007-08-22;8.58;7.9364;15.3598;14534.3;4.35
2007-09-22;9.18;7.9011;16.978;14240.1;4.07
2007-10-22;10.01;8.2367;19.6721;14892.1;3.96
2007-11-22;9.934;8.4486;19.3222;15825.9;4.22
2007-12-22;8.5;8.6665;19.7159;15802.2;3.95
2008-01-22;6.994;6.9708;17.6078;14602.3;3.99
2008-02-22;6.908;6.9002;16.6194;12814.7;3.64
2008-03-22;6.606;7.0768;15.6485;12948.1;3.6
2008-04-22;7.164;7.9482;16.3045;13846.4;3.91
2008-05-22;6.698;8.0247;16.3132;14074;3.99
2008-06-22;6;7.0415;14.835;13239.3;4.44
2008-07-22;5.858;6.8178;14.2752;11765.9;4.63
2008-08-22;6.21;6.8354;14.4939;11751.4;4.41
2008-09-22;6.192;6.3585;15.4823;11139.7;4.34
2008-10-22;5.314;4.922;12.4646;11418.5;3.44
2008-11-22;4.738;3.2836;12.5695;9744.7;2.81
2008-12-22;6.226;4.2056;13.8816;8491.2;2.15
2009-01-22;5.684;3.3847;12.7357;9644.1;2.09
2009-02-22;5.842;3.1068;11.9747;8440.2;1.23
2009-03-22;5.498;3.2836;12.9456;7025.9;1.02
2009-04-22;6.698;4.2182;13.0943;8319.9;1.19
2009-05-22;6.212;4.5971;13.0593;9136.7;1
2009-06-22;6.598;5.1086;13.5404;9519;0.95
2009-07-22;7.34;5.8032;14.4764;9707.8;0.76
2009-08-22;7.604;6.6304;15.2898;10704.4;0.76
2009-09-22;7.93;6.9967;16.5494;11222.7;0.61
2009-10-22;7.92;7.3641;16.7768;11557;1.04
2009-11-22;8.296;7.297;16.7243;11548.9;0.83
2009-12-22;8.648;7.3321;17.1442;12032.2;0.89
2010-01-22;8.88;6.9267;15.7622;12204.4;0.88
2010-02-22;8.515;6.3145;15.1674;10103.3;0.91
2010-03-22;9.8;6.2941;15.3948;11019.8;0.68
2010-04-22;9.662;6.3273;14.9312;11067.9;0.76
2010-05-22;8.786;5.4935;13.6279;9635.2;1.32
2010-06-22;9.904;5.9755;14.3102;8923.4;1.7
2010-07-22;10.32;6.372;14.4851;9281.5;2.36
2010-08-22;10.41;5.8657;15.0143;10840;1.62
2010-09-22;11.4;6.0413;15.7884;10599.4;1.66
2010-10-22;11.908;6.2267;16.8862;10651.2;1.8
2010-11-22;11.86;5.293;15.5085;10428.1;1.84
2010-12-22;11.8;5.2814;15.2374;10014.8;2.83
2011-01-22;11.558;5.9548;16.0683;9801.4;3.1
2011-02-22;10.716;5.8176;15.7666;10854.7;2
2011-03-22;10.8;5.5806;15.3686;10498.7;2.19
2011-04-22;11.928;5.4099;15.4035;10678.6;2.2
2011-05-22;12.22;5.19;14.6207;10627.3;2.56
2011-06-22;12.51;5.2523;14.5288;10285.7;2.58
2011-07-22;12.834;5.1506;14.2621;10330.1;2.51
2011-08-22;11.236;4.0299;12.2415;8671.2;3.65
2011-09-22;12.454;3.5926;11.4805;8066.5;2.86
2011-10-22;13.7;4.0371;13.3218;8477.3;3.3
2011-11-22;12.832;3.5078;11.5986;8596.4;3.84
2011-12-22;12.48;3.8723;11.5155;8705.8;4.29
2012-01-22;13.386;4.0468;11.6861;8329.6;2.7
2012-02-22;13.754;4.3617;11.4193;8861.2;1.45
2012-03-22;14.318;4.1714;11.1831;8453.5;1.15
2012-04-22;13.94;3.3869;9.6742;7660.5;1.85
2012-05-22;13.68;3.2935;8.9683;6876;2.53
2012-06-22;15.378;3.5765;9.1074;6267.8;3.74
2012-07-22;16.014;3.0809;8.2671;6954.2;3.5
2012-08-22;17.406;4.0817;9.2825;6755.7;3.51
2012-09-22;19.876;4.5957;10.1892;7494;2.65
2012-10-22;19.52;4.3695;9.4261;7954.4;2.61
2012-11-22;20.6;4.3559;9.1747;7818.6;2.49
2012-12-22;21.14;4.611;9.2017;7883.2;2.25
2013-01-22;21.5;4.9723;9.7403;8435.8;1.75
2013-02-22;20.44;4.5193;8.7304;8093.6;1.48
2013-03-22;20.21;4.3253;10.2655;8423.3;1.34
2013-04-22;19.404;4.2217;9.6191;7798.4;1.31
2013-05-22;20.18;4.3514;9.8839;8544.8;0.89
2013-06-22;18.544;3.9456;8.7977;8290.7;1.05
2013-07-22;19.568;4.1152;9.0311;7868.4;1.22
2013-08-22;20.7;4.5956;9.6012;8560.8;1.15
2013-09-22;22.48;4.8883;10.1622;8550;1.28
2013-10-22;23.55;5.6274;11.7422;9420.9;0.87
2013-11-22;23.13;5.399;10.9792;9795.7;0.72
2013-12-22;23.2;5.3519;10.4271;9392.1;0.86
2014-01-22;23.77;5.6852;10.9702;9798;0.72
2014-02-22;21.2;5.5701;10.1981;9775;0.63
2014-03-22;21.65;5.5993;10.0186;10215.2;0.5
2014-04-22;21.48;6.2494;10.7413;10677.2;0.57
2014-05-22;21;6.4267;10.8625;10477;0.57
2014-06-22;22.5;6.8832;11.5358;10876.4;0.45
2014-07-22;21.93;6.6546;10.9298;11009.4;0.27
2014-08-22;21.72;6.6224;10.656;10353.8;0.12
2014-09-22;22.54;6.9108;11.033;11148.9;0.1
2014-10-22;21.125;6.3985;10.2071;10567.6;0.18
2014-11-22;23.135;6.3317;11.5145;10276.9;0.27
2014-12-22;23.75;6.4882;11.182;10900.7;0.32
2015-01-22;26.11;5.7306;11.7822;9993.3;0.19
2015-02-22;27.3;5.9973;12.3363;10535.5;0.15
2015-03-22;30.21;6.3642;12.424;11124.4;0.07
2015-04-22;29.155;6.2702;12.7204;11634;0.01
2015-05-22;30.475;6.4633;12.3422;11115.6;0.01
2015-06-22;30.62;6.4892;12.4823;11062;0.02
2015-07-22;30.95;6.4222;12.9679;10779.8;0.11
2015-08-22;29.01;5.3522;11.9546;11279.5;0.01
2015-09-22;29.375;4.6589;10.2268;9821.8;0.03
2015-10-22;32.75;5.0363;10.9459;9971.3;0.02
2015-11-22;33.125;4.9851;11.3255;10431.2;-0.05
2015-12-22;31.64;4.3623;9.7248;10078.7;-0.03
2016-01-22;29.555;3.8805;9.1489;9335.2;-0.1
2016-02-22;28.585;3.5474;9.1585;8499.5;-0.09
2016-03-22;30.045;4.0263;9.6056;8811.6;-0.08
2016-04-22;29.5;4.316;9.4892;8387.7;-0.07
2016-05-22;28.8;4.0022;8.8316;8689.4;-0.22
2016-06-22;30.445;3.9104;8.6162;8801.6;-0.19
2016-07-22;30.925;3.7444;8.5864;8067.6;-0.28
2016-08-22;31.145;3.5377;8.4317;8539.4;-0.25
2016-09-22;33.37;3.95;9.2479;8953.3;-0.23
2016-10-22;33.225;4.229;8.7585;8778.3;-0.28
2016-11-22;31.395;4.229;7.982;8791.6;-0.26
2016-12-22;32.13;4.8365;8.722;8664.7;-0.23
2017-01-22;31;5.0133;9.086;9488.2;-0.33
2017-02-22;30.725;4.984;9.35;9462.7;-0.3
2017-03-22;31.81;5.5485;10.435;9798.5;-0.29
2017-04-22;34.19;5.5378;10.16;10402.7;-0.28
2017-05-22;36.34;5.5749;9.936;11135.4;-0.34
2017-06-22;35.07;5.7195;9.515;10884.7;-0.36
2017-07-22;33.625;5.5976;9.285;10523.6;-0.39
2017-08-22;33.665;5.4427;9.164;10658.4;-0.41
2017-09-22;31.905;5.6989;9.047;10179.8;-0.37
2017-10-22;30.99;5.6;8.864;10214.7;-0.35
2017-11-22;29.28;5.497;8.497;10357.8;-0.38
2017-12-22;29.615;5.594;8.255;10211.3;-0.37
2018-01-22;28.72;6.034;8.417;10411.4;-0.48