date;XGS;REER;WGDP
1970-01-01;2225.123047;100.4958758;104.1999998
1971-01-01;2541.091064;101.909402;109.4099998
1972-01-01;2881.596924;107.1462692;115.6463696
1973-01-01;3169.75708;108.7134599;123.972908
1974-01-01;3138.059082;108.0038977;127.0722307
1975-01-01;3125.50708;105.9902067;128.8512419
1976-01-01;3281.781982;105.2057335;135.5515062
1977-01-01;3678.87793;102.204655;141.3802212
1978-01-01;4072.518066;104.6506477;147.6009511
1979-01-01;4300.579102;112.315432;152.9145852
1980-01-01;4399.48584;108.3726978;156.2787061
1981-01-01;4761.387207;102.6709249;159.0917228
1982-01-01;4997.190918;101.8493928;160.2053648
1983-01-01;5495.076172;94.63420227;164.691115
1984-01-01;6137.423828;98.89659263;171.9375242
1985-01-01;6300.11377;99.61128149;177.9553375
1986-01-01;6416.944824;105.0778671;183.2939976
1987-01-01;6823.062012;109.6426086;189.7092876
1988-01-01;7169.212891;112.4327034;198.0564964
1989-01-01;7384.032715;115.7499632;204.3943044
1990-01-01;7621.504;123.9696294;209.9129506
1991-01-01;8221.078;125.4695385;213.6913837
1992-01-01;8828.275;128.9390529;219.6747424
1993-01-01;9579.586;114.5204453;225.8256352
1994-01-01;11181.767;109.6747117;235.0844863
1995-01-01;12299.895;116.0212689;243.7826123
1996-01-01;13604.854;121.6312043;253.7776994
1997-01-01;15611.863;116.1429013;264.4363627