EDAD,EDADMARIDO,EDUC,EDUCMADRE,EDUCMADREMARIDO,EDUCMARIDO,EDUCPADRE,EDUCPADREMARIDO,EXPER,HIJOS618,HIJOSM18,HIJOSM6,HIJOSMEN,HORASTRAB,HORASTRABMARIDO,IMPFED,PMT,SALARIO,SALARIOMARIDO,TMIMP,YFAM
32,34,12,12,16,12,7,14,14,0,1,1,1,1610,2708,1494,1,3.354,4.0288,0.7215,16310
30,30,12,7,3,9,7,7,5,2,2,0,1,1656,2310,2615,1,1.3889,8.4416,0.6615,21800
35,40,12,12,10,12,7,7,15,3,4,1,1,1980,3072,3957,1,4.5455,3.5807,0.6915,21040
34,53,12,7,12,10,7,7,6,3,3,0,1,456,1920,2279,1,1.0965,3.5417,0.7815,7300
31,32,14,12,7,12,14,7,7,2,3,1,1,1568,2000,1063,1,4.5918,10,0.6215,27300
54,57,12,14,7,11,7,7,33,0,0,0,0,2032,1040,370,1,4.7421,6.7106,0.6915,19495
37,37,16,14,10,12,7,7,11,2,2,0,1,1440,2670,877,1,8.3333,3.4277,0.6915,21152
54,53,12,3,7,8,3,7,35,0,0,0,0,1020,4120,2804,1,7.8431,2.5485,0.6915,18900
48,52,12,7,7,4,7,7,24,2,2,0,1,1458,1995,0,1,2.1262,4.2206,0.7515,20405
39,43,12,7,7,12,7,7,21,2,2,0,1,1600,2100,3246,1,4.6875,5.7143,0.6915,20425
33,34,12,12,7,12,3,7,15,1,1,0,1,1969,2450,5517,1,4.063,9.7959,0.5815,32300
42,47,11,14,9,14,7,7,14,1,1,0,1,1960,2375,3463,1,4.5918,8,0.6215,28700
30,33,12,16,9,16,16,12,0,2,3,1,1,240,2830,3486,1,2.0833,5.3004,0.7215,15500
43,46,12,10,10,12,10,7,14,2,2,0,1,997,3317,907,1,2.2668,4.3413,0.7215,16860
43,45,10,7,16,17,7,12,6,1,1,0,1,1848,2024,1568,1,3.6797,10.87,0.5815,31431
35,38,11,16,7,12,10,7,9,3,3,0,1,1224,1694,3952,1,1.3472,9.1499,0.7215,19180
43,45,12,10,7,12,7,3,20,2,2,0,1,1400,2156,306,1,3.2143,6.1224,0.6915,18600
39,40,12,12,10,12,12,7,6,5,5,0,1,640,2250,1272,1,5.175,6.1498,0.7215,19151
45,51,12,7,12,11,7,7,23,0,0,0,0,2000,2024,4262,1,2,6.917,0.6915,18100
35,40,12,12,12,10,7,12,9,4,4,0,1,1324,2123,14812,1,7.5529,4.7103,0.6915,20300
42,48,16,10,9,16,16,7,5,2,2,0,1,2215,4160,1049,1,3.5052,3.131,0.6215,30419
30,35,12,12,3,12,10,3,11,0,0,0,0,1680,2000,850,1,3.5714,4,0.7215,14090
48,52,13,7,16,17,3,3,18,0,0,0,0,1600,2420,2930,1,3.25,7.2227,0.6615,22679
45,53,12,7,7,17,7,7,15,0,0,0,0,800,1150,3014,1,3.25,7.9652,0.7215,12160
31,31,12,12,12,12,7,7,4,1,2,1,1,1955,2024,2636,1,2.1545,4.0884,0.7515,12487
43,43,17,16,7,17,14,3,21,2,2,0,1,660,1904,26,1,3.7879,14.181,0.5815,29850
59,53,12,3,7,16,7,7,31,0,0,0,0,525,2448,2636,1,4,6.5359,0.6915,18100
32,33,12,3,10,13,7,10,9,3,3,0,1,1904,2000,2011,1,4.7269,8.5,0.6615,26000
31,30,17,12,7,17,12,7,7,0,1,1,1,1516,2390,2196,1,7.2559,6.2762,0.6215,26100
42,47,12,12,7,10,12,7,7,0,0,0,0,346,1920,679,1,5.8671,5.2083,0.7215,17730
50,53,11,7,7,10,7,7,32,0,0,0,0,1040,1840,2104,1,1.5385,2.7821,0.7515,6719
59,57,16,3,10,17,3,7,11,0,0,0,0,732,3360,3154,1,2.459,4.9107,0.6915,18550
36,35,13,12,9,13,10,7,16,2,2,0,1,1880,2284,1291,1,5.8511,5.8669,0.6615,24600
51,50,12,7,14,8,14,12,14,1,1,0,1,1680,1875,16984,1,3.5714,7.52,0.6915,23100
45,47,16,12,7,17,12,7,27,3,3,0,1,2081,2140,1457,1,3.8068,7.5449,0.6615,24656
42,44,11,10,10,8,3,7,0,1,1,0,1,690,1896,330,1,2.4638,5.538,0.7515,15897
46,49,12,3,12,16,3,7,17,0,0,0,0,4210,1040,1605,1,2.3753,6.9231,0.6915,20320
46,52,10,10,7,12,3,12,28,1,1,0,1,2205,2200,1375,1,4.5351,5,0.6615,21384
51,58,14,7,7,12,7,3,24,0,0,0,0,1952,1952,3223,1,5.6183,7.3064,0.6215,25561
30,30,17,14,3,17,17,9,11,0,0,0,0,1302,1560,2048,1,14.631,11.218,0.58,36550
30,33,12,12,10,16,12,7,1,2,3,1,1,112,4030,698,1,2.6786,3.8462,0.7215,15810
57,58,12,9,9,12,9,7,14,0,0,0,0,893,2570,3035,1,3.9194,5.8366,0.6215,25500
31,34,16,14,7,16,16,10,6,2,3,1,1,583,1530,1266,1,2.5729,13.725,0.6615,24000
48,48,12,3,7,8,3,7,10,2,2,0,1,480,3149,3957,1,4.5375,6.3493,0.6615,22172
30,32,12,12,7,12,7,7,6,3,3,0,1,1900,2690,2867,1,2,5.2528,0.7215,17930
34,33,12,12,7,12,7,3,4,2,2,0,1,576,3096,1253,1,3.4722,1.3075,0.7815,7000
48,53,16,14,14,16,16,7,10,2,2,0,1,2056,2552,2300,1,2.0161,2.7998,0.7215,25300
45,47,12,10,7,11,10,7,22,0,0,0,0,1984,2040,1196,1,4.5716,2.6961,0.7215,16212
51,50,12,7,7,13,7,7,16,0,0,0,0,2640,2180,2510,1,2.2727,7.5688,0.6615,22650
30,37,12,12,3,12,7,3,6,2,2,0,1,240,1864,973,1,2.6375,3.4077,0.7815,6985
46,46,12,7,9,12,7,3,12,1,1,0,1,1173,2068,1919,1,2.2899,6.5401,0.6915,30000
58,58,12,7,12,12,3,7,32,0,0,0,0,3640,2010,4192,1,1.0989,7.2139,0.6915,18500
37,40,12,12,3,10,7,7,15,8,8,0,1,340,2152,1642,1,1.1765,6.2732,0.7515,16658
52,54,8,7,7,11,7,7,17,0,0,0,0,500,1496,3077,1,1.6,5.8824,0.7515,10300
52,47,10,7,7,4,3,7,34,0,0,0,0,1599,2100,2804,1,1.8762,3.8095,0.7515,11000
31,35,16,12,14,14,12,12,9,0,0,0,0,1830,1960,8660,1,4.0437,6.3776,0.6915,19900
55,55,14,7,10,15,7,3,37,0,0,0,0,1920,1985,1063,1,9.6354,6.0453,0.64,32500
34,33,17,17,7,17,17,3,10,0,0,0,0,2052,2020,1642,1,8.0409,8.8119,0.58,37300
55,56,14,17,7,16,7,3,35,0,0,0,0,2312,2178,7019,1,4.599,8.8765,0.5815,30018
39,39,12,12,3,12,7,3,6,2,2,0,1,196,3684,6112,1,2.1429,3.342,0.7515,12807
40,42,14,14,9,13,3,7,19,3,3,0,1,2500,5010,2384,1,4.4,3.1836,0.5515,39500
43,47,12,12,12,12,12,12,10,4,4,0,1,1980,1880,2104,1,3.5354,6.9149,0.6915,22050
48,56,8,7,14,8,7,14,11,0,0,0,0,1840,1904,2818,1,2.7174,5.5147,0.7215,15500
47,47,12,7,12,12,7,12,15,0,0,0,0,320,2083,5517,1,6.25,5.2808,0.7215,13810
41,44,12,7,7,12,7,7,12,4,4,0,1,419,2125,4979,1,11.933,3.2,0.7515,11950
36,37,8,12,9,12,12,7,12,0,0,0,0,1880,1985,679,1,3.5931,5.8791,0.6915,19175
46,48,17,12,12,17,16,12,14,2,2,0,1,72,2640,5141,1,6.9444,6.25,0.6915,17900
34,51,12,12,12,8,7,7,11,0,0,0,0,120,2070,2011,1,2.9167,7.4879,0.7215,15850
41,48,12,7,12,8,7,16,9,3,3,0,1,1885,2107,1642,1,3.0769,6.9767,0.6915,27017
51,54,12,12,3,10,7,7,24,1,1,0,1,240,2250,793,1,3.75,8,0.6915,18900
33,34,12,12,7,16,12,7,12,0,0,0,0,1729,2880,174,1,5.7259,4.1319,0.6915,21800
52,53,12,10,3,12,10,7,13,0,0,0,0,1850,1848,2617,1,3.6757,14.476,0.5515,33552
58,53,9,7,7,7,9,7,29,0,0,0,0,2033,1927,2447,1,5.1648,5.7343,0.6615,22650
34,38,10,0,3,9,0,3,11,4,6,2,1,608,1304,1158,1,8.2237,3.3742,0.7915,15200
31,35,12,7,7,12,10,7,13,1,1,0,1,1153,3000,2196,1,4.3365,1.8333,0.7215,13120
48,52,12,12,3,12,14,7,19,1,1,0,1,2208,1892,2048,1,4.9819,5.6025,0.6615,21660
32,32,12,7,12,12,7,14,2,2,2,0,1,252,3644,622,1,0.3571,4.2975,0.7215,18190
49,47,17,3,9,17,3,3,24,0,0,0,0,337,1430,250,1,2.9674,3.9161,0.7515,9600
32,31,15,10,10,14,12,7,9,2,4,2,1,90,2350,1353,1,1,4.8787,0.7515,13755
58,59,12,7,12,16,12,14,6,0,0,0,0,1174,1948,2783,1,2.5554,9.2402,0.6615,35350
50,42,6,12,12,12,7,7,22,0,0,0,0,372,1804,15190,1,0.8602,6.6519,0.7215,12405
60,51,14,12,3,12,17,7,30,0,0,0,0,30,2326,5840,1,1,4.6217,0.7515,12180
50,55,12,7,7,11,3,7,10,1,1,0,1,1800,1739,850,1,2.9261,9.9741,0.6615,22962
56,57,14,7,10,17,7,10,6,0,0,0,0,282,1176,1631,1,3.5461,20.918,0.6215,25700
51,55,9,7,12,8,7,7,29,0,0,0,0,720,1100,3533,1,1.6264,1.94,0.7915,3305
54,58,17,7,7,17,12,0,29,1,1,0,1,1440,1528,2783,1,8.3333,8.8351,0.5815,32950
59,52,13,7,3,15,7,7,36,0,0,0,0,2100,2250,2279,1,3.0952,4.6667,0.6915,17000
46,47,9,7,7,10,7,10,19,2,2,0,1,1000,1927,3557,1,2.7,5.1894,0.7515,13250
46,47,15,7,3,16,12,7,8,1,1,0,1,952,2414,1796,1,5.2521,18.724,0.4415,50750
39,49,12,10,7,8,10,7,13,3,4,1,1,1413,768,2720,1,1.4154,10.417,0.7715,15632
44,43,12,7,12,14,0,7,16,2,2,0,1,2100,1984,2067,1,4.7986,8.8458,0.6215,28316
33,36,12,12,10,12,12,7,11,0,2,2,1,120,2246,3980,1,1.6667,7.569,0.7215,17290
33,30,12,10,12,17,10,7,15,2,3,1,1,3000,3024,14602,1,1.1217,4.4507,0.6215,33600
48,52,12,12,12,12,7,12,6,2,2,0,1,1000,2921,3246,1,0.5,9.3204,0.6215,29200
31,37,12,7,7,17,7,7,13,4,4,0,1,336,2045,32,1,0.7143,9.1687,0.6915,19870
45,44,12,7,7,12,7,3,22,1,1,0,1,1216,1928,948,1,2.7961,6.4834,0.7215,16225
45,44,12,7,7,10,3,3,24,1,1,0,1,988,1920,509,1,4.8583,7.8125,0.6915,28600
32,37,13,14,12,17,12,12,2,2,2,0,1,2581,2280,3952,1,1.7435,11.404,0.5815,30800
47,47,12,7,7,17,7,7,6,0,0,0,0,2030,2300,3246,1,2.4631,5.087,0.6915,25700
34,35,13,12,7,13,12,7,2,2,2,0,1,413,2480,1640,1,2.4213,6.9758,0.6215,27000
37,34,12,12,14,10,7,7,2,1,1,0,1,782,1135,2713,1,1.5345,5.2863,0.7715,12077
36,39,12,7,16,12,7,12,14,1,1,0,1,1388,1384,17515,1,2.8818,11.562,0.6615,29612
47,50,12,7,7,14,10,7,9,2,3,1,1,1450,1848,1742,1,2.4069,8.6061,0.6915,24479
48,46,16,14,12,17,14,7,11,1,1,0,1,1720,2499,5381,1,5.2326,12.805,0.4415,79750
42,43,12,12,9,12,7,7,9,2,2,0,1,800,2390,3246,1,3.75,6.6946,0.6915,20050
33,44,13,10,12,14,12,9,6,3,3,0,1,360,2400,3007,1,1.3889,8.3333,0.6915,21500
46,53,11,7,12,8,7,7,19,0,0,0,0,2000,1920,1631,1,4,4.1667,0.6915,16120
47,48,12,7,12,13,7,12,26,3,3,0,1,1176,2301,1816,1,3.2313,5.4759,0.7215,24686
44,43,12,7,7,10,10,7,19,1,1,0,1,2058,1944,1317,1,3.4014,5.144,0.6915,24669
36,37,12,7,12,17,7,7,3,4,4,0,1,900,2100,571,1,1.3333,11.667,0.6615,26400
31,32,17,12,12,16,12,12,7,0,2,2,1,215,1920,5812,1,9.3023,7.2917,0.7215,16245
55,55,14,7,12,14,7,10,28,0,0,0,0,2000,2880,1465,1,4.5,4.8611,0.6615,23300
45,48,16,12,7,16,7,10,13,1,1,0,1,757,1932,4764,1,4.6235,12.164,0.6215,27200
47,48,17,10,7,17,17,7,9,0,0,0,0,1264,3234,3028,1,3.9557,10.823,0.4615,51000
46,47,12,10,7,12,7,7,15,3,3,0,1,2064,2805,4680,1,5.814,12.478,0.4615,55000
49,52,11,7,7,9,7,7,20,0,0,0,0,1280,2272,2860,1,0.5,6.162,0.7215,15389
49,52,12,7,7,14,7,10,29,0,0,0,0,1715,2227,2038,1,4.0816,7.1846,0.6615,23150
45,49,12,7,10,6,10,10,9,2,2,0,1,2000,1720,5113,1,6,7.093,0.6215,29774
38,38,17,12,7,13,10,7,1,3,4,1,1,12,2300,0,1,3.6667,17.826,0.4415,91044
47,50,10,7,7,12,12,7,8,0,0,0,0,1528,3410,810,1,3.8613,6.393,0.5815,28200
54,57,13,7,9,16,7,7,19,3,3,0,1,561,2304,2188,1,2.7629,11.719,0.5515,36150
41,42,11,12,9,12,12,7,23,0,0,0,0,2058,1984,2833,1,2.931,4.7883,0.7215,15652
43,33,12,14,12,14,7,7,3,2,2,0,1,1823,1890,2093,1,4.3884,4.2328,0.7515,18900
31,32,16,12,7,12,10,7,13,1,2,1,1,1680,1970,1927,1,5.4167,7.1066,0.6615,23600
47,46,17,7,7,12,7,7,8,0,0,0,0,1440,2400,3028,1,9.8611,8.3333,0.61,36200
35,37,12,10,12,12,10,16,17,2,2,0,1,4950,2504,2818,1,0.1616,6.9888,0.6915,18700
45,48,16,7,12,17,7,12,4,3,3,0,1,1176,2398,2093,1,0.3826,9.5913,0.6615,24125
33,39,12,7,16,12,7,10,15,0,1,1,1,1100,1960,4682,1,3.6364,6.0204,0.7215,15800
54,55,16,12,16,12,7,12,11,1,1,0,1,1516,2550,3481,1,2.3747,2.9686,0.7215,19742
35,41,8,10,7,12,7,3,7,4,4,0,1,900,2500,1081,1,4.6667,7,0.6915,22600
31,37,12,7,7,10,7,7,0,2,3,1,1,1080,2164,1250,1,1.8519,7.1627,0.7215,17500
55,60,12,7,12,12,7,7,0,0,0,0,0,480,2640,1112,1,5.2,4.7364,0.6915,19820
34,36,12,12,7,12,16,7,10,2,2,0,1,288,1936,5355,1,3.2986,8.781,0.6915,20155
38,41,13,10,12,12,12,14,8,1,1,0,1,1875,2136,3028,1,8.5333,9.8315,0.58,37300
45,51,11,7,7,10,7,7,2,1,1,0,1,630,1955,91,1,2.0635,6.6496,0.7215,24860
47,48,12,12,9,10,3,7,4,1,1,0,1,234,1980,4440,1,2.5641,9.8485,0.6615,21450
39,42,12,7,7,11,7,7,6,2,2,0,1,1600,2550,509,1,2.1875,9.8039,0.6215,29650
36,37,14,7,9,13,7,7,18,0,1,1,1,960,2058,621,1,6.25,8.2604,0.6615,23000
33,32,12,7,10,14,7,7,3,2,3,1,1,120,2263,2327,1,3.3333,9.0676,0.6915,21120
50,54,12,7,7,13,12,7,22,0,0,0,0,2025,1763,3970,1,4.4444,8.5082,0.6215,26000
58,59,12,3,3,14,7,7,33,0,0,0,0,1809,2096,3028,1,6.6335,7.1565,0.6215,28000
49,47,17,12,9,13,12,12,28,0,0,0,0,3087,2059,870,1,8.4224,7.0423,0.52,45500
41,40,14,16,12,17,12,7,23,2,2,0,1,910,1820,2001,1,4.3956,6.5934,0.7215,16000
51,53,12,7,16,8,14,16,27,1,1,0,1,1840,2832,2020,1,2.4457,4.3457,0.6915,18232
53,60,9,3,7,10,7,7,11,0,0,0,0,784,1990,1521,1,1.2245,7.2362,0.7215,28160
36,40,12,12,12,7,7,7,6,2,3,1,1,400,2000,2001,1,1.625,1.74,0.8015,5965
46,46,12,7,12,12,7,9,11,2,2,0,1,1000,1885,1261,1,3,6.8966,0.7215,19000
36,37,12,12,12,12,12,7,14,2,2,0,1,1904,2860,4440,1,4.7269,5.0455,0.5515,36872
53,48,14,12,7,16,12,7,17,1,1,0,1,1771,1913,908,1,1.1293,17.25,0.4915,42000
40,54,16,16,12,16,14,16,17,3,3,0,1,1486,1800,3218,1,7.4024,8.3333,0.6215,26900
42,45,17,12,16,16,10,17,14,2,2,0,1,740,2880,39,1,4.4595,9.375,0.5815,30800
33,32,15,12,12,16,12,7,11,1,2,1,1,1820,1993,364,1,2.4725,8.279,0.6915,21520
43,47,12,7,12,14,7,7,7,3,3,0,1,1275,2250,1834,1,1.8824,4.5,0.6915,24795
31,30,16,14,7,16,16,7,8,0,1,1,1,450,2286,7257,1,4,4.1995,0.7215,12900
47,47,17,7,7,16,7,7,6,0,0,0,0,1221,1880,0,1,8.19,16.064,0.4915,42700
54,58,17,10,12,17,17,17,8,0,0,0,0,1550,2350,1788,1,7.0968,11.277,0.5215,38800
33,33,12,7,10,11,3,7,4,3,4,1,1,180,3640,1189,1,1.6667,0.5494,0.9415,2500
43,47,16,14,16,14,10,16,25,0,0,0,0,2090,1770,4977,1,3.445,9.548,0.6215,26921
46,49,13,7,7,13,9,7,24,1,1,0,1,1960,1875,1418,1,4.2347,5.3333,0.6915,18300
35,38,12,7,12,9,7,12,11,3,3,0,1,1440,2200,7028,1,2.7778,5.4545,0.7215,17200
37,39,11,12,10,12,3,7,19,3,3,0,1,794,2033,2726,1,1.8892,5.9026,0.7515,14209
37,39,16,12,10,17,16,10,9,2,2,0,1,993,2739,4494,1,5.0352,9.8576,0.5815,32300
34,38,14,17,7,14,12,7,19,3,3,0,1,160,1626,385,1,1.25,11.685,0.7215,21400
43,44,16,7,3,17,7,7,14,0,1,1,1,105,2248,1677,1,2.8571,6.2278,0.7215,14700
46,48,12,7,16,12,7,17,22,0,0,0,0,1200,2140,11948,1,4.1167,9.1748,0.6215,25516
35,42,9,3,16,12,7,7,6,3,3,0,1,450,1985,1769,1,1.7778,6.2972,0.7515,13300
46,59,17,12,7,17,12,7,23,0,0,0,0,996,1528,1991,1,13.554,10.471,0.5815,31000
46,48,14,7,12,16,3,10,15,0,0,0,0,1052,1920,1880,1,4.5627,14.583,0.4915,48800
43,46,12,7,9,10,7,7,6,2,2,0,1,1128,1918,4924,1,2.1277,6.2143,0.7215,15519
30,30,12,7,3,12,7,7,11,0,0,0,0,1840,2112,1529,1,2.9891,6.6288,0.6915,19500
41,46,11,3,10,9,7,17,2,2,2,0,1,1910,2144,3382,1,2.5654,3.8246,0.7215,14545
54,54,12,7,7,15,7,12,22,1,1,0,1,980,1920,2446,1,5.6122,7.8125,0.6915,22897
31,41,12,10,12,9,10,14,10,1,1,0,1,2317,2241,4439,1,2.8054,3.4806,0.7215,14300
44,47,10,10,10,11,10,7,14,0,0,0,0,1089,880,27875,1,1.607,5.55,0.7515,14884
32,31,12,12,7,16,7,12,12,1,1,0,1,800,2070,7028,1,2.25,11.594,0.6215,27400
47,53,5,7,7,5,12,7,9,0,0,0,0,1230,1050,1463,1,2.0325,9.5238,0.7215,16400
46,57,17,14,3,17,17,7,13,1,1,0,1,1158,2635,2243,1,5.532,7.2805,0.6215,25704
37,47,11,10,12,8,10,14,18,0,0,0,0,2272,3000,1584,1,1.5845,3,0.7215,12800
51,50,12,7,7,11,7,7,8,2,2,0,1,528,2500,3477,1,3.7879,10.4,0.6215,40000
49,49,12,7,9,12,7,3,11,1,1,0,1,1000,1990,86,1,3,10.05,0.6615,47000
36,37,14,10,7,13,12,7,9,4,4,0,1,520,2390,921,1,8.6538,8.7866,0.6615,25872
39,44,11,12,12,12,7,7,9,1,1,0,1,760,1430,4977,1,4.2105,10.14,0.6915,26868
48,50,12,12,3,8,12,7,14,2,2,0,1,1920,1800,7655,1,4.6875,5,0.6915,18000
38,43,14,7,7,17,7,7,9,2,2,0,1,1220,2103,11570,1,4.0984,11.888,0.5815,30200
40,42,12,7,3,12,7,7,2,2,2,0,1,200,1350,1547,1,25,13.333,0.6615,26220
39,36,10,7,3,17,7,9,12,5,6,1,1,2480,2880,1253,1,2.6331,8.6806,0.5815,40500
37,43,16,12,12,17,7,7,15,0,0,0,0,2750,2400,3382,1,6,7.2917,0.61,33570
49,47,13,7,7,12,14,7,11,1,1,0,1,2014,1135,1521,1,5.4126,3.5242,0.7215,16917
33,35,12,12,14,17,7,7,7,3,3,0,1,1355,2750,1991,1,0.6642,6.1818,0.7215,18000
30,32,12,12,12,16,12,7,9,0,0,0,0,80,2085,921,1,1.25,2.9755,0.7515,8337
54,56,12,12,9,8,7,3,19,0,0,0,0,1670,2600,0,1,2.2754,4.5769,0.7215,17100
39,40,11,10,7,12,7,3,11,4,4,0,1,520,3542,1723,1,3.4615,3.1056,0.7515,17800
43,43,12,12,7,12,12,7,8,3,3,0,1,288,1975,2341,1,4.1667,5.8228,0.7515,13740
31,32,9,10,7,12,3,12,13,3,3,0,1,2014,2400,176,1,4.4687,7.5,0.6215,27000
33,37,13,12,7,14,7,3,4,3,3,0,1,800,3000,812,1,1.75,8.3333,0.6215,32600
40,39,12,12,3,14,12,10,7,3,3,0,1,1984,1960,10560,1,3.6694,9.2347,0.6615,28030
36,39,12,12,7,9,12,7,19,1,1,0,1,1823,2000,4331,1,6.5826,5.5,0.6615,23100
51,51,12,7,7,12,7,7,14,0,0,0,0,1500,3000,0,1,2.6,6,0.6615,24580
44,43,13,12,3,12,7,7,14,1,1,0,1,2261,2400,1144,1,4.8651,6.6667,0.6215,29000
42,48,16,12,7,14,14,7,3,3,3,0,1,1728,2450,3089,1,5.787,13.061,0.5215,42430
40,40,12,12,7,8,12,7,9,1,1,0,1,1960,2423,1907,1,4.5408,12.794,0.5215,41800
34,33,16,12,10,16,17,7,7,1,2,1,1,1578,2000,2390,1,9.5057,12,0.58,39100
30,41,17,16,12,16,17,7,7,0,0,0,0,1316,2526,774,1,10.638,6.73,0.5815,31800
54,53,12,7,7,12,7,7,14,0,0,0,0,1530,2695,1840,1,1.1111,6.679,0.6915,22200
51,54,12,16,12,12,7,16,29,0,0,0,0,2220,2048,22643,1,4.0541,4.3945,0.6915,19500
44,46,9,7,7,11,10,7,19,2,2,0,1,1336,1920,3707,1,2.6871,4.6875,0.7515,14027
43,42,12,7,10,9,7,16,14,1,1,0,1,1008,2338,1519,1,2.9762,7.6989,0.6615,21195
34,37,12,10,7,8,7,7,16,1,1,0,1,1944,2945,1482,1,3.1728,4.3287,0.6915,19013
45,52,13,12,7,12,7,7,10,0,0,0,0,2000,2047,850,1,3.55,6.7416,0.6615,20900
39,47,12,10,9,7,3,7,12,0,0,0,0,258,1668,1160,1,17.907,9.3525,0.6215,26820
50,48,12,0,7,10,0,3,24,0,0,0,0,1785,175,1740,1,3.4174,9.1429,0.7515,12800
52,53,12,7,12,12,7,7,6,0,0,0,0,480,1798,2173,1,3.3333,2.6418,0.7515,7850
41,45,12,12,3,12,12,3,9,2,2,0,1,772,1222,1648,1,3.886,7.365,0.7215,18600
59,59,10,12,3,7,7,3,14,0,0,0,0,900,1820,0,1,2.3111,1.4066,0.7715,5380
52,60,12,10,12,8,7,7,26,0,0,0,0,1428,1560,3801,1,1.7108,1.5192,0.7715,6114
46,49,16,12,7,12,12,3,7,0,0,0,0,210,2210,1821,1,2.1143,3.3439,0.7515,8234
41,48,12,3,9,16,7,7,4,5,6,1,1,239,2874,1178,1,9.9331,2.9106,0.7215,20646
33,35,11,7,10,8,7,10,15,2,2,0,1,1878,2499,3277,1,3.0277,4.3834,0.7215,16640
45,38,12,12,12,12,12,7,23,0,0,0,0,215,3088,1052,1,1.8605,4.2098,0.7215,13900
36,37,10,10,3,8,7,7,1,2,3,1,1,2340,2020,4889,1,0.1282,3.7129,0.7815,11500
48,56,12,7,3,10,7,7,29,1,1,0,1,1960,1980,1821,1,6.6327,10.606,0.5515,34000
47,47,12,7,3,11,3,7,9,1,1,0,1,532,1968,0,1,5.6391,8.6382,0.6615,28700
45,45,12,7,7,12,7,7,6,0,0,0,0,394,2100,1066,1,1.599,3.8367,0.7515,9563
37,48,12,7,9,17,7,7,11,2,2,0,1,675,2651,1378,1,2.6667,7.1671,0.6915,20960
46,49,16,12,10,14,10,7,17,4,4,0,1,1515,1918,3004,1,7.9208,8.8634,0.6215,38590
43,46,17,12,14,16,12,9,6,3,3,0,1,1030,2585,1164,1,5.3398,7.7369,0.6615,27900
42,46,12,7,7,17,7,10,7,2,2,0,1,1250,2250,1958,1,4,9.1702,0.6215,25633
34,39,17,12,7,17,12,7,2,2,3,1,1,1158,2480,3224,1,6.0449,11.29,0.5515,35200
52,53,12,7,7,12,7,10,24,0,0,0,0,112,2924,562,1,6.25,6.3269,0.5815,29500
37,52,12,10,7,9,7,7,4,3,3,0,1,336,1896,0,1,2.9762,4.7468,0.7515,10000
37,40,12,10,7,12,7,3,11,1,1,0,1,1984,2332,0,1,4.2339,4.8885,0.6915,19800
52,59,8,7,12,7,7,7,25,0,0,0,0,716,3482,3614,1,3.4916,2.4842,0.7215,12900
30,30,12,12,7,14,12,14,11,0,1,1,1,1410,2106,2671,1,4.9645,8.547,0.6215,26080
31,32,13,17,7,12,7,7,2,1,1,0,1,1300,1160,1043,1,2.7692,6.6379,0.7515,13066
38,46,12,7,12,12,7,10,19,1,1,0,1,1640,2040,2440,1,3.6585,3.1863,0.7215,12500
43,48,12,7,12,16,7,7,7,3,3,0,1,1202,2856,2293,1,5.3935,4.5466,0.5815,35600
49,51,8,7,12,8,7,12,2,1,1,0,1,489,950,2755,1,0.6564,12.789,0.7515,19424
55,58,12,7,7,10,7,7,20,0,0,0,0,2076,2068,517,1,4.7688,6.528,0.6615,26250
38,42,17,12,12,17,14,12,10,2,2,0,1,526,1896,3547,1,8.5551,16.403,0.5515,36525
52,56,17,14,7,16,17,7,19,0,0,0,0,1721,2000,3735,1,10.459,7,0.61,34700
