Producto,PVP EEUU,"PVP EEUU en € ($1 = 0,82 €)",PVP EEUU ajustado (€ + 21% IVA),PVP España,Diferencia % España vs EEUU
iPhone SE,399,327.18,395.89,489,23.52
iPhone XR,499,409.18,495.11,589,18.96
iPhone 11,599,491.18,594.33,689,15.93
iPhone 12 mini,699,573.18,693.55,809,16.65
iPhone 12,799,655.18,792.77,909,14.66
iPhone 12 Pro,999,819.18,991.21,1159,16.93
iPhone 12 Pro Max,1099,901.18,1090.43,1259,15.46
iPad 8ª gen,329,269.78,326.43,379,16.1
iPad mini,399,327.18,395.89,449,13.42
iPad Air,599,491.18,594.33,649,9.2
iPad Pro 11”,799,655.18,792.77,879,10.88
iPad Pro 13”,999,819.18,991.21,1099,10.87
Magic Keyboard 11”,299,245.18,296.67,339,14.27
Magic Keyboard 13”,349,286.18,346.28,399,15.23
Smart Keyboard,159,130.38,157.76,179,13.46
Smart Keyboard Folio 11”,179,146.78,177.6,199,12.05
Smart Keyboard Folio 13”,199,163.18,197.45,219,10.92
Apple Pencil,99,81.18,98.23,99,0.79
Apple Pencil 2,129,105.78,127.99,135,5.47
HomePod,299,245.18,296.67,329,10.9
HomePod mini,99,81.18,98.23,99,0.79
Apple Watch SE 40 mm,279,228.78,276.82,299,8.01
Apple Watch SE 44 mm,309,253.38,306.59,329,7.31
Apple Watch Series 6 40 mm aluminio,399,327.18,395.89,429,8.36
Apple Watch Series 6 44 mm aluminio,429,351.78,425.65,459,7.83
Apple Watch Series 6 40 mm acero,699,573.18,693.55,729,5.11
Apple Watch Series 6 40 mm acero,749,614.18,743.16,779,4.82
Apple Watch Series 3 40 mm,199,163.18,197.45,219,10.92
Apple Watch Series 3 44 mm,229,187.78,227.21,249,9.59
Correa Solo Loop,49,40.18,48.62,49,0.79
Correa Solo Loop trenzada,99,81.18,98.23,99,0.79
Correa deportiva,49,40.18,48.62,49,0.79
Correa Loop deportiva,49,40.18,48.62,49,0.79
Correa de eslabones de piel,99,81.18,98.23,99,0.79
Correa de hebilla moderna,149,122.18,147.84,149,0.79
Pulsera milanesa,99,81.18,98.23,99,0.79
Pulsera de eslabones en plata,349,286.18,346.28,349,0.79
Pulsera de eslabones en negro espacial,449,368.18,445.5,449,0.79
MacBook Air M1 base,999,819.18,991.21,1129,13.9
MacBook Air M1 ampliado,1249,1024.18,1239.26,1399,12.89
MacBook Pro 13” M1 base,1299,1065.18,1288.87,1449,12.42
MacBook Pro 13” M1 ampliado,1499,1229.18,1487.31,1679,12.89
MacBook Pro 13" Intel 4 puertos base,1799,1475.18,1784.97,2129,19.27
MacBook Pro 13" Intel 4 puertos ampliado,1999,1639.18,1983.41,2359,18.94
MacBook Pro 16” base,2399,1967.18,2380.29,2699,13.39
MacBook Pro 16” ampliado,2799,2295.18,2777.17,3199,15.19
"iMac 21,5” 4K",1299,1065.18,1288.87,1499,16.3
iMac 27” 5K,1799,1475.18,1784.97,2099,17.59
Mac mini base,699,573.18,693.55,799,15.2
Mac mini ampliado,899,737.18,891.99,1029,15.36
Mac Pro,5999,4919.18,5952.21,6499,9.19
iMac Pro,4999,4099.18,4960.01,5499,10.87
AirPods 2,159,130.38,157.76,179,13.46
AirPods 2 con estuche de carga inalámbrica,199,163.18,197.45,229,15.98
AirPods Pro,249,204.18,247.06,279,12.93
AirPods Max,549,450.18,544.72,629,15.47
Apple TV HD,149,122.18,147.84,159,7.55
Apple TV 4K,179,146.78,177.6,199,12.05
Pro Display XDR,4999,4099.18,4960.01,5499,10.87
MagSafe,39,31.98,38.7,45,16.29
MagSafe Duo,129,105.78,127.99,145,13.29
Magic Mouse 2,79,64.78,78.38,85,8.44
Magic Trackpad 2,129,105.78,127.99,149,16.41
Magic Keyboard,99,81.18,98.23,99,0.79
Magic Keyboard con teclado numérico,129,105.78,127.99,149,16.41
Funda de piel de 13”,179,146.78,177.6,199,12.05
Cartera de piel con MagSafe,59,48.38,58.54,65,11.04
Funda integral de piel con MagSafe,129,105.78,127.99,149,16.41
Funda de piel MagSafe para iPhone 12 Pro,59,48.38,58.54,65,11.04
Funda de silicona MagSafe para iPhone 12 y 12 Pro,49,40.18,48.62,55,13.13
Beats Flex,49.99,40.99,49.6,49.95,0.71
iPod touch,199,163.18,197.45,239,21.04
PowerBeats Pro,249.95,204.96,248,249.95,0.79
Beats Studio3,349.95,286.96,347.22,349.95,0.79
PowerBeats,129.95,106.56,128.94,149.95,16.3
Beats Solo Pro,299.95,245.96,297.61,299.95,0.79
Beats Solo3,199.95,163.96,198.39,199.95,0.79